Event Name:,{{answer from user input}},,,,,,,,,,,,,,,,,,,,,,,,
Event Dates:,{{answer from user input}},,,,,,,,,,,,,,,,,,,,,,,,
Timeline:,{{answer from user input}},,,,,,,,,,,,,,,,,,,,,,,,
Event Location:,{{answer from user input}},,,,,,,,,,,,,,,,,,,,,,,,
BW Attendees:,{{answer from user input}},,,,,,,,,,,,,,,,,,,,,,,,
External Attendees:,{{answer from user input}},,,,,,,,,,,,,,,,,,,,,,,,
Category,Task,Owner,Deadline,Status,Existing Resources,Notes,,,,,,,,,,,,,,,,,,,
Planning & Admin,Identify a final date and hold on calendars,,MM/DD/YY,,Something like SteerCo template can help schedule (https://docs.google.com/spreadsheets/d/1pP_PnkgTsC00I4yI_4lf2Iixn7LrhmbEOQjDWF_Ny-I/edit?usp=drive_link),,,,,,,,,,,,,,,,,,,,
Planning & Admin,Communicate date and give travel parameters to rest of project team,,MM/DD/YY,,,,,,,,,,,,,,,,,,,,,,
Agenda & Facilitation,Draft event agenda and timing,,MM/DD/YY,,,,,,,,,,,,,,,,,,,,,,
Agenda & Facilitation,Develop a plan to send prework,,MM/DD/YY,,,,,,,,,,,,,,,,,,,,,,
Contracts,Research and shortlist 5 event venues,,MM/DD/YY,,,A table/comparison tool within your PM doc can be helpful,,,,,,,,,,,,,,,,,,,
Contracts,Finalize venue choice and solicit final contract,,MM/DD/YY,,,,,,,,,,,,,,,,,,,,,,
Contracts,Submit venue contract for BW review,,MM/DD/YY,,,,,,,,,,,,,,,,,,,,,,
Contracts,Secure signatures and finalize venue contract,,MM/DD/YY,,,,,,,,,,,,,,,,,,,,,,
Meeting Space & A/V,Confirm meeting room setup and A/V needs,,MM/DD/YY,,,{{Include answer from Intake Question 13}},,,,,,,,,,,,,,,,,,,
Meeting Space & A/V,Solicit and finalize any BEOs,,MM/DD/YY,,Reminder about BW contracts policy,,,,,,,,,,,,,,,,,,,,
Lodging,Ensure sleeping rooms are part of venue contract,,MM/DD/YY,,,"Hotels usually require 10+ rooms for room blocking. BW typically responsible to fill 80% of those rooms. Rooms can be paid all on one card (submit master booking list), or hotel can generate booking link for guests to book/pay on their own",,,,,,,,,,,,,,,,,,,
